ProvinceCode,ProvinceName,CityMunicipalityCode,CityMunicipalityName,BarangayCode,BarangayName
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100001,"Agapito del Rosario"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100002,Anunas
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100003,Balibago
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100004,Capaya
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100005,"Claro M. Recto"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100006,Cuayan
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100007,Cutcut
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100008,Cutud
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100010,"Lourdes North West"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100011,"Lourdes Sur"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100012,"Lourdes Sur East"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100013,Malaba�as
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100014,Margot
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100015,Mining
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100017,Pampang
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100018,Pandan
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100019,"Pulung Maragul"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100020,Pulungbulu
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100021,"Pulung Cacutud"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100022,Salapungan
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100023,"San Jose"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100024,"San Nicolas"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100025,"Sta. Teresita"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100026,"Sta. Trinidad"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100027,"Sto. Cristo"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100028,"Sto. Domingo"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100029,"Sto. Rosario"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100030,Sapalibutad
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100031,Sapangbato
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100032,Tabun
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100034,"Virgen Delos Remedios"
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100035,Amsic
0330100000,"Province 0330100000",0330100000,"City of Angeles",0330100036,"Ninoy Aquino"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400001,Asinan
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400002,Banicain
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400003,Barretto
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400005,"East Bajac-bajac"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400006,"East Tapinac"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400008,"Gordon Heights"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400011,Kalaklan
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400012,"New Kalalake"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400013,Mabayuan
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400014,"New Cabalan"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400015,"New Ilalim"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400016,"New Kababae"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400017,Pag-asa
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400018,"Santa Rita"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400019,"West Bajac-bajac"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400020,"West Tapinac"
0331400000,"Province 0331400000",0331400000,"City of Olongapo",0331400021,"Old Cabalan"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200002,"Barangay 1"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200003,"Barangay 10"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200004,"Barangay 11"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200005,"Barangay 2"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200006,"Barangay 3"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200007,"Barangay 4"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200008,"Barangay 5"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200009,"Barangay 6"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200010,"Barangay 7"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200011,"Barangay 8"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200012,"Barangay 9"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200013,Barra
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200014,Bocohan
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200015,"Mayao Castillo"
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200016,Cotta
0431200000,"Province 0431200000",0431200000,"City of Lucena",0431200017,Gulang-gulang
