region,row,parent_asset_tag,accessory_asset_tag,keyword,status,property_number,careof_named,raw_segment
CAR,42,AST-000719,AST-000720,PRINTER,Unserviceable,,,PRINTER-UNSERVICEABLE UPS-2023-05-03-10201SP528-01
CAR,42,AST-000719,AST-000721,UPS,Unverified,2023-05-03-10201SP528-01,,PRINTER-UNSERVICEABLE UPS-2023-05-03-10201SP528-01
CAR,43,AST-000722,AST-000723,PRINTER,Unserviceable,,,PRINTER-UNSERVICEABLE
CAR,45,AST-000725,AST-000726,PRINTER,Unserviceable,,,PRINTER-UNSERVICEABLE
CAR,47,AST-000728,AST-000729,PRINTER,Unserviceable,,,PRINTER-UNSERVICEABLE
CAR,47,AST-000728,AST-000730,UPS,Unserviceable,,,UPS-UNSERVICEABLE
CAR,49,AST-000732,AST-000733,PRINTER,Unserviceable,,,PRINTER-UNSERVICEABLE
CAR,50,AST-000734,AST-000735,PRINTER,Unserviceable,,,PRINTER-UNSERVICEABLE
CAR,50,AST-000734,AST-000736,UPS,Unverified,2023-05-03-10201SP520-01,,UPS-2023-05-03-10201SP520-01
CAR,51,AST-000737,AST-000738,PRINTER,Unserviceable,,,PRINTER-UNSERVICEABLE
CAR,54,AST-000741,AST-000742,PRINTER,Unserviceable,,,PRINTER-UNSERVICEABLE
CAR,55,AST-000743,AST-000744,PRINTER,Unserviceable,,,PRINTER-UNSERVICEABLE
CAR,94,AST-000777,AST-000778,PRINTER,Unverified,2023-05-03-10201SP545-01,,PRINTER-2023-05-03-10201SP545-01
CAR,96,AST-000780,AST-000781,MONITOR,Unserviceable,,,MONITOR-FOR REPAIR
CAR,99,AST-000784,AST-000785,MONITOR,Unverified,,,MONITOR AND UPS - 2023-05-03-10201SP554-01
CAR,99,AST-000784,AST-000786,UPS,Unverified,2023-05-03-10201SP554-01,,MONITOR AND UPS - 2023-05-03-10201SP554-01
CAR,101,AST-000788,AST-000789,PRINTER,Unverified,2023-05-03-10201SP547-01,,PRINTER - 2023-05-03-10201SP547-01
CAR,103,AST-000791,AST-000792,MONITOR,Unverified,2023-05-03-10201SP358-01,,MONITOR - 2023-05-03-10201SP358-01
CAR,104,AST-000793,AST-000794,MONITOR,Unverified,2023-05-03-10201SP359-01,,MONITOR - 2023-05-03-10201SP359-01
CAR,105,AST-000795,AST-000796,MONITOR,Unverified,2023-05-03-10201SP357-01,,MONITOR - 2023-05-03-10201SP357-01
R-I,51,AST-000934,AST-000935,PRINTER,Unverified,,,PRINTER DEFFECTIVE
R-I,97,AST-000981,AST-000982,PRINTER,Unverified,,,PRINTER DEFFECTIVE
R-I,98,AST-000983,AST-000984,UPS,Unverified,,,UPS DEFFECTIVE
R-I,100,AST-000986,AST-000987,MONITOR,Unverified,,,MONITOR DEFFECTIVE
R-I,101,AST-000988,AST-000989,UPS,Unverified,,,UPS DEFFECTIVE
R-I,103,AST-000991,AST-000992,PRINTER,Unverified,,,PRINTER DEFFECTIVE
R-I,104,AST-000993,AST-000994,PRINTER,Unverified,,,PRINTER DEFFECTIVE
R-I,106,AST-000996,AST-000997,PRINTER,Unverified,,,PRINTER DEFFECTIVE
R-I,107,AST-000998,AST-000999,PRINTER,Unverified,,,PRINTER DEFFECTIVE
R-I,113,AST-001005,AST-001006,MONITOR,Unverified,,,MONITOR DEFFECTIVE
R-II,40,AST-001069,AST-001070,UPS,Unverified,,,UNSERVICEABLE UPS
R-II,51,AST-001081,AST-001082,PRINTER,Unverified,,,UNSERVICEABLE PRINTER AND MONITOR
R-II,51,AST-001081,AST-001083,MONITOR,Unverified,,,UNSERVICEABLE PRINTER AND MONITOR
R-II,53,AST-001085,AST-001086,PRINTER,Unverified,,,UNSERVICEABLE PRINTER
R-II,69,AST-001096,AST-001097,UPS,Unverified,,,unserviceable UPS
R-II,71,AST-001099,AST-001100,PRINTER,Unverified,,,unserviceable printer
R-II,77,AST-001106,AST-001107,PRINTER,Unverified,,,unserviceable printer
R-II,78,AST-001108,AST-001109,PRINTER,Unverified,,,unserviceable printer
R-III,53,AST-001254,AST-001255,UPS,Unverified,,,UPS
R-III,58,AST-001260,AST-001261,UPS,Unverified,,,UPS
R-III,98,AST-001301,AST-001302,PRINTER,Unverified,,,Printer User
R-III,101,AST-001305,AST-001306,PRINTER,Unverified,,,Printer user
R-III,103,AST-001308,AST-001309,PRINTER,Unverified,,,Printer User
R-III,104,AST-001310,AST-001311,PRINTER,Unverified,,,Printer User
R-III,105,AST-001312,AST-001313,PRINTER,Unverified,,,Printer User
R-III,107,AST-001315,AST-001316,PRINTER,Unverified,,,Printer User
R-III,109,AST-001318,AST-001319,PRINTER,Unverified,,,Printer User
R-III,111,AST-001321,AST-001322,PRINTER,Unverified,,,Printer User
R-III,112,AST-001323,AST-001324,PRINTER,Unverified,,,Printer User
R-III,113,AST-001325,AST-001326,PRINTER,Unverified,,,Printer User
R-III,114,AST-001327,AST-001328,PRINTER,Unverified,,,Printer User
R-III,138,AST-001342,AST-001343,PRINTER,Unverified,,,Printer
R-III,153,AST-001358,AST-001359,PRINTER,Unverified,,,Printer
R-III,154,AST-001360,AST-001361,PRINTER,Unverified,,,Printer and UPS
R-III,154,AST-001360,AST-001362,UPS,Unverified,,,Printer and UPS
R-III,156,AST-001364,AST-001365,PRINTER,Unverified,,,Printer
R-III,157,AST-001366,AST-001367,UPS,Unverified,,,"CPU, UPS, Printer"
R-III,157,AST-001366,AST-001368,PRINTER,Unverified,,,"CPU, UPS, Printer"
R-III,158,AST-001369,AST-001370,UPS,Unverified,,,UPS
R-III,159,AST-001371,AST-001372,UPS,Unverified,,,UPS
R-III,163,AST-001376,AST-001377,UPS,Unverified,,,UPS
R-III,164,AST-001378,AST-001379,UPS,Unverified,,,UPS
R-III,166,AST-001381,AST-001382,MONITOR,Unverified,,,Monitor
R-III,167,AST-001383,AST-001384,PRINTER,Unverified,,,Printer
R-III,168,AST-001385,AST-001386,PRINTER,Unverified,,,Printer
R-III,169,AST-001387,AST-001388,PRINTER,Unverified,,,Printer
R-IVA,22,AST-001429,AST-001430,PRINTER,Unverified,,,"CANON PRINTER ISSUED TO ATTY. MA. LILIA O. DELA REA, DARAB"
R-IVA,104,AST-001512,AST-001513,PRINTER,Unserviceable,,,HP PRINTER UNSERVICEABLE
R-IVA,109,AST-001518,AST-001519,PRINTER,Unserviceable,,,HP PRINTER UNSERVICEABLE
R-IVB,62,AST-001651,AST-001652,MONITOR,Unserviceable,,,MONITOR UNSERVICEABLE
R-IVB,98,AST-001688,AST-001689,UPS,Unverified,,,UNSERVICEABLE (UPS)
R-IVB,99,AST-001690,AST-001691,UPS,Unverified,,,UNSERVICEABLE (UPS)
R-V,8,AST-001742,AST-001743,MONITOR,Unserviceable,,,Monitor defective
R-V,17,AST-001752,AST-001753,PRINTER,Unserviceable,,,Printer defective
R-V,34,AST-001767,AST-001768,PRINTER,Unserviceable,,,PRINTER FOR REPAIR
R-V,35,AST-001769,AST-001770,UPS,Unserviceable,,,UPS - UNSERVICEABLE
R-V,38,AST-001773,AST-001774,UPS,Unserviceable,,,"UPS - UNSERVICEABLE, PRINTER - FOR REPAIR"
R-V,38,AST-001773,AST-001775,PRINTER,Unserviceable,,,"UPS - UNSERVICEABLE, PRINTER - FOR REPAIR"
R-V,39,AST-001776,AST-001777,PRINTER,Unserviceable,,,PRINTER FOR REPAIR
R-V,43,AST-001781,AST-001782,PRINTER,Unserviceable,,,PRINTER UNSERVICEABLE
R-V,45,AST-001784,AST-001785,UPS,Unserviceable,,,UPS UNSERVICEABLE
R-V,46,AST-001786,AST-001787,UPS,Unserviceable,,,UPS UNSERVICEABLE
R-V,47,AST-001788,AST-001789,PRINTER,Unserviceable,,,PRINTER UNSERVICEABLE
R-V,90,AST-001829,AST-001830,UPS,Unserviceable,,,UPS DEFECTIVE PRINTER UNSERVICEABLE
R-V,90,AST-001829,AST-001831,PRINTER,Unserviceable,,,UPS DEFECTIVE PRINTER UNSERVICEABLE
R-V,93,AST-001834,AST-001835,UPS,Unserviceable,,,UPS UNSERVICEABLE
R-V,101,AST-001843,AST-001844,UPS,Unserviceable,,,UPS UNSERVICEABLE
R-V,120,AST-001857,AST-001858,PRINTER,Unserviceable,,,PRINTER UNSERVICEABLE
