category,region,row,reference_type,reference_id,field,original_value,applied_value,note
UNRESOLVED_OWNER,DARCO,232,ASSET,AST-000186,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,233,ASSET,AST-000187,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,234,ASSET,AST-000188,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,235,ASSET,AST-000189,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,236,ASSET,AST-000190,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,237,ASSET,AST-000191,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,238,ASSET,AST-000192,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,239,ASSET,AST-000193,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,240,ASSET,AST-000194,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,241,ASSET,AST-000195,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,242,ASSET,AST-000196,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,243,ASSET,AST-000197,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,244,ASSET,AST-000198,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,245,ASSET,AST-000199,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
